Student ID,Course,Degree,CGPA,Year,Placement
2019A0002A,Humanities and Social Sciences,B.E,9.04,4,Accenture
2019A0008A,Mathematics,B.E,8.7,4,Amazon
2019H0014H,Civil Engineering,M.E,6.02,4,Leighton Holdings
2019S0015S,Biological Sciences,M.Sc,9.16,4,Cipla
2019A0024A,Pharmacy,B.E,5.5,4,Unplaced
2019A0025A,Economics and Finanace,B.E,8.34,4,Unplaced
2019H0027H,Humanities and Social Sciences,M.E,7.08,4,Axis Bank
2019P0028P,Chemisty,B.Pharm,5.14,4,ADITYA BIRLA
2019H0030H,Mechanical Engineering,M.E,6.51,4,Micron
2019D0032D,Chemisty,Ph.D,7.34,4,ExxonMobil
2019D0035D,Economics and Finanace,Ph.D,9.51,4,Moodys Analytics
2019P0040P,Electrical and Electronics Engineering,B.Pharm,5.34,4,CISCO
2019A0044A,Mechanical Engineering,B.E,8.09,4,Micron
2019A0047A,Humanities and Social Sciences,B.E,9.67,4,Unplaced
2019A0050A,Physics,B.E,9.46,4,Tenstorrent
2019A0054A,Chemisty,B.E,6.61,4,Unplaced
2019A0056A,Civil Engineering,B.E,6.26,4,"Skidmore, Owings & Merrill (SOM)"
2019A0061A,Biological Sciences,B.E,6.8,4,Cipla
2019A0063A,Economics and Finanace,B.E,5.93,4,Goldman Sachs
2019A0064A,Civil Engineering,B.E,9.16,4,The Walsh Group
2019D0066D,Chemical Engineering,Ph.D,7.19,4,Eastman Chemical Company
2019D0082D,Economics and Finanace,Ph.D,9.91,4,Fidelity International
2019A0087A,Pharmacy,B.E,6.75,4,Strand
2019S0090S,Civil Engineering,M.Sc,7.67,4,The Walsh Group
2019P0092P,Humanities and Social Sciences,B.Pharm,5.26,4,WNS Global Services
2019A0093A,Physics,B.E,5.63,4,Panasonic
2019A0094A,Mathematics,B.E,5.69,4,Mediatek
2019A0096A,Economics and Finanace,B.E,5.97,4,Genpact
2019A0098A,Mechanical Engineering,B.E,5.05,4,Ford Motor Company
2019P0104P,Computer Science and Information Systems,B.Pharm,5.65,4,Qualcomm
2019A0112A,Biological Sciences,B.E,6.73,4,PEISION MEDICINE SOLUTIONS
2019H0113H,Physics,M.E,9.75,4,Dolcera
2019D0117D,Biological Sciences,Ph.D,9.89,4,Unplaced
2019A0120A,Computer Science and Information Systems,B.E,6.39,4,Infineon
2019A0122A,Biological Sciences,B.E,6.4,4,PEISION MEDICINE SOLUTIONS
2019A0123A,Humanities and Social Sciences,B.E,5.09,4,Unplaced
2019S0125S,Civil Engineering,M.Sc,6.9,4,Dragados
2019D0130D,Biological Sciences,Ph.D,6.7,4,Cadila Healthcare
2019A0134A,Chemisty,B.E,9.8,4,Cipla
2019H0143H,Computer Science and Information Systems,M.E,9.24,4,Unplaced
2019P0150P,Computer Science and Information Systems,B.Pharm,6.3,4,Mashreq
2019A0154A,Chemisty,B.E,8.42,4,freyr
2019H0159H,Economics and Finanace,M.E,5.55,4,Fidelity International
