Student ID,Course,Degree,CGPA,Year
2014P0001P,Civil Engineering,B.Pharm,7.16,4
2014A0002A,Pharmacy,B.E,6.59,4
2014A0003A,Electrical and Electronics Engineering,B.E,6.91,2
2014A0004A,Pharmacy,B.E,5.87,2
2014A0005A,Civil Engineering,B.E,7.78,3
2014H0006H,Electrical and Electronics Engineering,M.E,5.77,2
2014A0007A,Chemisty,B.E,5.06,1
2014P0008P,Chemisty,B.Pharm,8.61,4
2014A0009A,Pharmacy,B.E,7.18,2
2014S0010S,Chemical Engineering,M.Sc,5.69,4
2014A0011A,Humanities and Social Sciences,B.E,9.47,4
2014A0012A,Mechanical Engineering,B.E,5.9,4
2014A0013A,Mathematics,B.E,9.1,4
2014H0014H,Economics and Finanace,M.E,6.13,4
2014P0015P,Mechanical Engineering,B.Pharm,5.04,4
2014A0016A,Physics,B.E,6.18,3
2014H0017H,Electrical and Electronics Engineering,M.E,9.63,3
2014A0018A,Biological Sciences,B.E,9.89,4
2014A0019A,Physics,B.E,6.84,4
2014A0020A,Physics,B.E,5.4,3
2014H0021H,Humanities and Social Sciences,M.E,7.58,1
2014A0022A,Civil Engineering,B.E,7.36,1
2014H0023H,Pharmacy,M.E,8.17,3
2014A0024A,Mechanical Engineering,B.E,5.26,3
2014H0025H,Mathematics,M.E,8.89,4
2014A0026A,Humanities and Social Sciences,B.E,7.56,4
2014A0027A,Mechanical Engineering,B.E,8.67,4
2014H0028H,Economics and Finanace,M.E,9.8,3
2014A0029A,Computer Science and Information Systems,B.E,5.84,3
2014P0030P,Mechanical Engineering,B.Pharm,6.3,4
2014H0031H,Mechanical Engineering,M.E,5.85,1
2014A0032A,Pharmacy,B.E,9.95,1
2014D0033D,Computer Science and Information Systems,Ph.D,7.42,2
2014H0034H,Mathematics,M.E,5.38,3
2014A0035A,Computer Science and Information Systems,B.E,5.66,3
2014S0036S,Computer Science and Information Systems,M.Sc,9.29,1
2014H0037H,Physics,M.E,5.56,2
2014A0038A,Mechanical Engineering,B.E,8.69,4
2014A0039A,Economics and Finanace,B.E,9.04,3
2014A0040A,Physics,B.E,6.18,2
2014A0041A,Mathematics,B.E,9.31,3
2014S0042S,Chemical Engineering,M.Sc,9.84,2
2014A0043A,Humanities and Social Sciences,B.E,8.76,4
2014S0044S,Electrical and Electronics Engineering,M.Sc,6.19,4
2014P0045P,Pharmacy,B.Pharm,5.84,3
2014S0046S,Biological Sciences,M.Sc,8.21,1
2014A0047A,Biological Sciences,B.E,5.84,4
2014A0048A,Humanities and Social Sciences,B.E,6.51,2
2014A0049A,Electrical and Electronics Engineering,B.E,8.42,4
2014D0050D,Humanities and Social Sciences,Ph.D,6.31,4
2014P0051P,Biological Sciences,B.Pharm,6.44,4
2014A0052A,Electrical and Electronics Engineering,B.E,8.39,1
2014S0053S,Chemical Engineering,M.Sc,9.59,3
2014S0054S,Electrical and Electronics Engineering,M.Sc,8.05,3
2014S0055S,Economics and Finanace,M.Sc,6.35,1
2014A0056A,Computer Science and Information Systems,B.E,8.27,4
2014A0057A,Humanities and Social Sciences,B.E,8.87,2
2014D0058D,Physics,Ph.D,8.36,2
2014H0059H,Mathematics,M.E,6.69,2
2014A0060A,Economics and Finanace,B.E,7.74,1
2014A0061A,Chemical Engineering,B.E,5.06,1
2014S0062S,Mathematics,M.Sc,5.52,4
2014A0063A,Economics and Finanace,B.E,6.1,3
2014A0064A,Computer Science and Information Systems,B.E,5.97,1
2014P0065P,Mechanical Engineering,B.Pharm,5.46,2
2014H0066H,Mechanical Engineering,M.E,8.19,1
2014A0067A,Chemical Engineering,B.E,9.28,2
2014D0068D,Electrical and Electronics Engineering,Ph.D,8.28,2
2014S0069S,Chemical Engineering,M.Sc,8.48,3
2014A0070A,Computer Science and Information Systems,B.E,7.33,1
2014H0071H,Pharmacy,M.E,7.27,3
2014A0072A,Electrical and Electronics Engineering,B.E,8.46,3
2014D0073D,Computer Science and Information Systems,Ph.D,5.81,1
2014H0074H,Computer Science and Information Systems,M.E,8.89,4
2014D0075D,Electrical and Electronics Engineering,Ph.D,6.66,1
2014S0076S,Computer Science and Information Systems,M.Sc,9.78,3
2014A0077A,Chemisty,B.E,7.2,4
2014H0078H,Civil Engineering,M.E,8.05,2
2014A0079A,Pharmacy,B.E,7.46,2
2014A0080A,Mathematics,B.E,8.84,2
2014A0081A,Mechanical Engineering,B.E,8.22,4
2014A0082A,Physics,B.E,6.29,1
2014A0083A,Chemical Engineering,B.E,5.35,3
2014H0084H,Humanities and Social Sciences,M.E,5.09,4
2014A0085A,Chemisty,B.E,8.26,1
2014A0086A,Biological Sciences,B.E,8.32,3
2014A0087A,Chemisty,B.E,8.5,4
2014A0088A,Mechanical Engineering,B.E,5.02,4
2014A0089A,Humanities and Social Sciences,B.E,7.18,1
2014A0090A,Mathematics,B.E,6.13,4
2014A0091A,Physics,B.E,9.09,4
2014A0092A,Chemical Engineering,B.E,7.84,3
2014P0093P,Economics and Finanace,B.Pharm,8.41,4
2014H0094H,Biological Sciences,M.E,8.16,1
2014A0095A,Economics and Finanace,B.E,7.67,3
2014H0096H,Chemical Engineering,M.E,9.21,3
2014S0097S,Pharmacy,M.Sc,6.02,1
2014A0098A,Electrical and Electronics Engineering,B.E,8.3,3
2014A0099A,Physics,B.E,6.95,1
2014S0100S,Pharmacy,M.Sc,8.44,4
2014S0101S,Chemical Engineering,M.Sc,9.43,4
2014H0102H,Physics,M.E,5.95,1
2014A0103A,Civil Engineering,B.E,5.13,2
2014A0104A,Humanities and Social Sciences,B.E,6.94,3
2014A0105A,Humanities and Social Sciences,B.E,7.67,4
2014A0106A,Biological Sciences,B.E,5.19,1
2014A0107A,Economics and Finanace,B.E,8.94,1
2014P0108P,Electrical and Electronics Engineering,B.Pharm,5.59,4
2014A0109A,Pharmacy,B.E,9.35,2
2014A0110A,Physics,B.E,7.9,1
2014S0111S,Biological Sciences,M.Sc,8.68,4
2014S0112S,Pharmacy,M.Sc,5.1,1
2014P0113P,Civil Engineering,B.Pharm,8.51,2
2014H0114H,Biological Sciences,M.E,5.86,1
2014A0115A,Computer Science and Information Systems,B.E,9.1,1
2014A0116A,Humanities and Social Sciences,B.E,8.06,1
2014A0117A,Chemical Engineering,B.E,5.57,2
2014A0118A,Chemical Engineering,B.E,9.02,4
2014P0119P,Economics and Finanace,B.Pharm,9.06,4
2014A0120A,Economics and Finanace,B.E,5.6,2
2014H0121H,Economics and Finanace,M.E,9.18,2
2014P0122P,Biological Sciences,B.Pharm,7.97,3
2014H0123H,Chemical Engineering,M.E,5.6,2
2014A0124A,Electrical and Electronics Engineering,B.E,5.84,3
2014A0125A,Mathematics,B.E,5.83,2
2014A0126A,Mechanical Engineering,B.E,5.2,1
2014H0127H,Pharmacy,M.E,8.06,2
2014A0128A,Biological Sciences,B.E,9.4,1
2014A0129A,Biological Sciences,B.E,5.04,1
2014A0130A,Physics,B.E,8.26,3
2014A0131A,Electrical and Electronics Engineering,B.E,8.47,4
2014H0132H,Physics,M.E,5.63,2
2014A0133A,Pharmacy,B.E,6.35,4
2014H0134H,Electrical and Electronics Engineering,M.E,6.2,2
2014A0135A,Mechanical Engineering,B.E,8.46,2
2014D0136D,Physics,Ph.D,7.5,1
2014H0137H,Pharmacy,M.E,9.13,3
2014S0138S,Economics and Finanace,M.Sc,7.09,2
2014A0139A,Civil Engineering,B.E,5.59,1
2014A0140A,Mechanical Engineering,B.E,6.81,2
2014A0141A,Humanities and Social Sciences,B.E,8.85,2
2014H0142H,Computer Science and Information Systems,M.E,5.27,1
2014P0143P,Chemisty,B.Pharm,8.43,4
2014A0144A,Humanities and Social Sciences,B.E,5.88,1
2014A0145A,Biological Sciences,B.E,8.22,3
2014S0146S,Civil Engineering,M.Sc,7.17,3
2014A0147A,Mechanical Engineering,B.E,9.03,4
2014P0148P,Biological Sciences,B.Pharm,5.52,1
2014A0149A,Mathematics,B.E,5.88,1
2014A0150A,Humanities and Social Sciences,B.E,7.57,1
2014S0151S,Civil Engineering,M.Sc,8.61,3
2014A0152A,Electrical and Electronics Engineering,B.E,5.99,3
2014H0153H,Civil Engineering,M.E,8.89,3
2014A0154A,Civil Engineering,B.E,5.49,4
2014A0155A,Civil Engineering,B.E,6.88,2
2014A0156A,Chemical Engineering,B.E,7.35,4
2014D0157D,Biological Sciences,Ph.D,9.45,2
2014H0158H,Civil Engineering,M.E,9.64,4
2014A0159A,Chemisty,B.E,6.94,2
2014A0160A,Humanities and Social Sciences,B.E,8.6,3
2014H0161H,Computer Science and Information Systems,M.E,6.01,2
2014H0162H,Biological Sciences,M.E,8.46,1
2014A0163A,Computer Science and Information Systems,B.E,5.68,4
2014A0164A,Humanities and Social Sciences,B.E,7.09,3
2014A0165A,Civil Engineering,B.E,9.43,2
2014H0166H,Pharmacy,M.E,9.76,2
2014P0167P,Mechanical Engineering,B.Pharm,9.85,2
2014A0168A,Chemical Engineering,B.E,7.06,4
2014A0169A,Civil Engineering,B.E,7.96,4
2014H0170H,Computer Science and Information Systems,M.E,5.07,4
2014A0171A,Physics,B.E,9.36,2
2014P0172P,Economics and Finanace,B.Pharm,7.17,2
2014A0173A,Mechanical Engineering,B.E,9.73,1
2014H0174H,Electrical and Electronics Engineering,M.E,9.9,1
2014A0175A,Humanities and Social Sciences,B.E,8.67,1
2014A0176A,Electrical and Electronics Engineering,B.E,7.66,4
2014A0177A,Physics,B.E,9.11,4
2014H0178H,Humanities and Social Sciences,M.E,6.2,1
2014P0179P,Electrical and Electronics Engineering,B.Pharm,9.75,2
2014A0180A,Economics and Finanace,B.E,6.48,1
2014A0181A,Biological Sciences,B.E,7.4,3
2014A0182A,Chemisty,B.E,8.52,1
2014A0183A,Humanities and Social Sciences,B.E,7.32,2
2014A0184A,Physics,B.E,7.03,3
2014H0185H,Pharmacy,M.E,7.32,1
2014H0186H,Pharmacy,M.E,5.35,3
2014S0187S,Mathematics,M.Sc,5.16,4
2014A0188A,Computer Science and Information Systems,B.E,8.49,2
2014P0189P,Pharmacy,B.Pharm,5.4,3
2014H0190H,Physics,M.E,9.66,3
2014P0191P,Biological Sciences,B.Pharm,5.55,3
2014P0192P,Humanities and Social Sciences,B.Pharm,8.1,3
2014H0193H,Economics and Finanace,M.E,5.88,1
2014A0194A,Mathematics,B.E,8.55,2
2014A0195A,Chemisty,B.E,9.91,2
2014H0196H,Mathematics,M.E,5.57,4
2014A0197A,Physics,B.E,9.7,2
2014A0198A,Physics,B.E,8.8,3
2014H0199H,Economics and Finanace,M.E,9.49,4
2014H0200H,Computer Science and Information Systems,M.E,5.27,3
2014A0201A,Economics and Finanace,B.E,7.26,1
2014A0202A,Humanities and Social Sciences,B.E,8.55,3
2014A0203A,Humanities and Social Sciences,B.E,8.1,1
2014P0204P,Civil Engineering,B.Pharm,9.46,4
2014A0205A,Chemical Engineering,B.E,5.4,2
2014A0206A,Computer Science and Information Systems,B.E,9.79,1
2014A0207A,Chemical Engineering,B.E,5.82,1
2014A0208A,Physics,B.E,5.74,2
2014H0209H,Civil Engineering,M.E,7.6,1
2014D0210D,Computer Science and Information Systems,Ph.D,7.08,2
2014H0211H,Humanities and Social Sciences,M.E,6.73,4
2014H0212H,Physics,M.E,8.22,3
2014H0213H,Civil Engineering,M.E,5.31,2
2014A0214A,Mathematics,B.E,8.22,4
2014H0215H,Mechanical Engineering,M.E,6.71,3
2014H0216H,Humanities and Social Sciences,M.E,7.97,4
2014P0217P,Humanities and Social Sciences,B.Pharm,6.52,2
2014H0218H,Computer Science and Information Systems,M.E,5.86,3
2014H0219H,Civil Engineering,M.E,7.42,3
2014A0220A,Biological Sciences,B.E,5.74,3
2014H0221H,Humanities and Social Sciences,M.E,9.78,2
2014H0222H,Physics,M.E,7.68,2
2014A0223A,Chemisty,B.E,9.2,2
2014H0224H,Chemisty,M.E,6.19,1
2014A0225A,Economics and Finanace,B.E,7.87,4
2014P0226P,Computer Science and Information Systems,B.Pharm,6.85,2
2014A0227A,Mathematics,B.E,8.54,3
2014A0228A,Economics and Finanace,B.E,5.74,4
2014S0229S,Mathematics,M.Sc,9.88,3
2014A0230A,Chemical Engineering,B.E,9.6,4
2014A0231A,Humanities and Social Sciences,B.E,8.84,4
2014A0232A,Economics and Finanace,B.E,5.78,3
2014A0233A,Pharmacy,B.E,8.53,4
2014P0234P,Computer Science and Information Systems,B.Pharm,9.85,2
2014A0235A,Mechanical Engineering,B.E,8.64,4
2014D0236D,Economics and Finanace,Ph.D,8.45,4
2014P0237P,Biological Sciences,B.Pharm,5.7,1
2014P0238P,Computer Science and Information Systems,B.Pharm,5.12,2
2014A0239A,Humanities and Social Sciences,B.E,6.79,3
2014P0240P,Biological Sciences,B.Pharm,8.04,2
2014A0241A,Mechanical Engineering,B.E,7.63,3
2014A0242A,Civil Engineering,B.E,5.11,4
